semester_code,department,course_id,section,course_name,target_unit,grade_level,course_type,credits,cutoff_weight,year_roc,semester,year_ad,semester_ordinal,course_key,prev_1_weight,prev_2_weight,avg_weight_3sem,avg_weight_all,weight_volatility,semesters_offered,weight_trend,is_required,dept_cluster,popularity_tier,oversubscription_ratio,domain_category,prev_1_oversub_ratio,prev_2_oversub_ratio,avg_oversub_ratio_3sem,prev_1_remaining_spots,demand_trend,instructor_avg_cutoff,instructor_course_count,is_prime_time,num_time_slots
1101,一般通識組,00000585,,社會服務功能與技巧,B00-一般通識組1,1,選修,2.0,0.0,110,1,2021,18,00000585||B00-一般通識組1,1.0,0.0,3.0,6.5,7.852812659593163,5,-5.6,0,通識,low,1.0,社會科學領域,0.9777777777777776,,0.9777777777777776,1.0,,28.333333333333332,5.0,0.0,2.0
1101,體育教學組,0099PE01,G,體育-羽球,B99-體育教學組1,1,必修,0.0,16.0,110,1,2021,18,0099PE01|G|B99-體育教學組1,3.0,5.0,5.666666666666667,5.444444444444445,3.126943839882286,10,-1.5,1,體育,medium,1.0,體育,1.0,,1.0,0.0,,8.733333333333333,9.0,1.0,2.0
1101,一般通識組,00000591,,敘事與療育,B00-一般通識組1,1,選修,2.0,0.0,110,1,2021,18,00000591||B00-一般通識組1,0.0,0.0,2.0,2.0,3.4641016151377544,4,-3.0,0,通識,medium,0.9714285714285714,社會科學領域,0.9714285714285714,0.9428571428571428,0.9571428571428571,1.0,0.02857142857142858,4.5,2.0,0.0,2.0
1101,體育教學組,0099PE04,B,體育-桌球,B99-體育教學組1,1,必修,0.0,0.0,110,1,2021,18,0099PE04|B|B99-體育教學組1,17.0,15.0,13.666666666666666,11.636363636363637,3.1391950328938556,12,1.8,1,體育,medium,1.0,體育,1.0,1.0,1.0,0.0,0.0,15.266666666666667,8.0,0.0,2.0
1101,一般通識組,00000595,,城市的歷史記憶,B00-一般通識組1,1,選修,2.0,10.0,110,1,2021,18,00000595||B00-一般通識組1,1.0,,1.0,1.0,,2,,0,通識,medium,1.05,人文領域,,,,,,20.8,2.0,0.0,2.0
1101,體育教學組,0099PE01,F,體育-羽球,B99-體育教學組1,1,必修,0.0,11.0,110,1,2021,18,0099PE01|F|B99-體育教學組1,2.0,4.0,6.333333333333333,3.5,3.942772444036626,13,-0.7000000000000001,1,體育,medium,1.0,體育,0.96,1.0,0.9866666666666667,2.0,-0.020000000000000018,8.733333333333333,9.0,1.0,2.0
1101,一般通識組,00000616,,貨幣與文明,B00-一般通識組1,1,選修,2.0,23.0,110,1,2021,18,00000616||B00-一般通識組1,29.0,4.0,13.333333333333334,13.333333333333334,13.650396819628847,4,11.0,0,通識,high,1.075,人文領域,1.05,1.0,1.025,0.0,0.050000000000000044,20.8,2.0,1.0,2.0
1101,一般通識組,00000618,,醫療場域內的符號與敘事應用,B00-一般通識組1,1,選修,2.0,11.0,110,1,2021,18,00000618||B00-一般通識組1,10.0,0.0,11.666666666666666,17.0,10.63014581273465,8,-5.800000000000001,0,通識,high,1.0,人文領域,1.0,,1.0,0.0,,10.0,1.0,0.0,2.0
1101,體育教學組,0099PE01,E,體育-羽球,B99-體育教學組1,1,必修,0.0,14.0,110,1,2021,18,0099PE01|E|B99-體育教學組1,18.0,11.0,19.0,7.833333333333333,8.321203292939323,13,3.1,1,體育,medium,1.0,體育,0.96,1.0,0.9866666666666667,2.0,-0.020000000000000018,8.733333333333333,9.0,1.0,2.0
1101,一般通識組,00000628,,大腦裡的偵探：知覺、感覺與錯覺,B00-一般通識組1,1,選修,2.0,53.0,110,1,2021,18,00000628||B00-一般通識組1,17.0,51.0,22.666666666666668,23.666666666666668,18.02775637731995,10,-2.8000000000000003,0,通識,high,1.1166666666666667,科學與邏輯思維領域,0.95,1.0,0.9866666666666667,3.0,-0.030000000000000027,22.666666666666668,1.0,0.0,2.0
